strategy_name,Period,net_pnl_change,Rank,Shifted_Period
S_GBPUSD_S35_4_6042225_C5E9B0ED,2021-06,160.27304505,10,2021-05
S_EURUSD_S41_2_2481771_CFA13660,2021-06,158.02927108999998,9,2021-05
S_EURUSD_S25_2_65287_C19B1B5D,2021-06,144.97616696,8,2021-05
S_EURUSD_S33_3_1949787_E2DA9B94,2021-06,142.8725108,7,2021-05
S_GBPUSD_S35_1_7791031_A9EA0170,2021-06,120.30952657,6,2021-05
S_GBPUSD_S35_1_3749132_746299E1,2021-06,106.82557172,5,2021-05
S_GBPUSD_S43_2_2540157_E8ED90A3,2021-06,102.37111632,4,2021-05
S_GBPUSD_S35_3_6866072_43587EAA,2021-06,90.69963598999999,3,2021-05
S_GBPUSD_S35_3_3976288_8EB54D21,2021-06,84.87872441,2,2021-05
S_EURUSD_S33_4_6607397_2278A9A2,2021-06,72.85765559000001,1,2021-05
L_GBPUSD_S34_3_5369060_803C285A,2021-07,144.77942206,10,2021-06
L_EURUSD_S40_4_1749569_FBBD71EC,2021-07,119.60903409,9,2021-06
L_EURUSD_S40_3_630091_CBB03EA1,2021-07,111.18309056,8,2021-06
S_GBPUSD_S43_4_757760_36AEAD74,2021-07,106.70982685,7,2021-06
L_EURUSD_S40_3_1464010_33F517BA,2021-07,104.43327887,6,2021-06
L_GBPUSD_S42_2_1263481_012B54F7,2021-07,85.52229358,5,2021-06
L_EURUSD_S32_2_4602819_51C88649,2021-07,78.76413662,4,2021-06
S_GBPUSD_S35_3_6866072_43587EAA,2021-07,76.57128216,3,2021-06
S_EURUSD_S41_1_1761360_D96E3336,2021-07,74.35943104,2,2021-06
S_GBPUSD_S35_2_7763450_208B97DC,2021-07,63.05719066,1,2021-06
L_GBPUSD_S34_3_2130541_D1469B50,2021-08,123.06814779000001,10,2021-07
L_GBPUSD_S30_2_184556_39B984AC,2021-08,111.09489432,9,2021-07
S_GBPUSD_S35_3_6866072_43587EAA,2021-08,99.7369469,8,2021-07
S_GBPUSD_S43_2_2540157_E8ED90A3,2021-08,86.29741052,7,2021-07
S_GBPUSD_S35_1_3749132_746299E1,2021-08,83.8681126,6,2021-07
S_GBPUSD_S35_0_2812691_CF6809DD,2021-08,79.6707734,5,2021-07
S_EURUSD_S27_1_713515_F35AC498,2021-08,72.85283985,4,2021-07
S_EURUSD_S41_2_1957722_C9BF0F3D,2021-08,69.2772106,3,2021-07
S_EURUSD_S41_1_1761360_D96E3336,2021-08,68.77085279,2,2021-07
L_EURUSD_S40_1_2132828_63A45C87,2021-08,59.32290354,1,2021-07
S_EURUSD_S33_4_6607397_2278A9A2,2021-09,126.8023048,10,2021-08
S_EURUSD_S41_1_1761360_D96E3336,2021-09,123.06874584,9,2021-08
L_GBPUSD_S30_2_184556_39B984AC,2021-09,108.2604681,8,2021-08
L_GBPUSD_S42_4_1786370_A28D04BD,2021-09,88.60705478999999,7,2021-08
S_EURUSD_S27_1_713515_F35AC498,2021-09,80.40993637,6,2021-08
S_GBPUSD_S35_1_7791031_A9EA0170,2021-09,75.74298297,5,2021-08
S_EURUSD_S41_3_3294457_1DA61FB3,2021-09,72.33804073,4,2021-08
S_EURUSD_S33_3_1448881_78FBD3B5,2021-09,63.01231745,3,2021-08
S_EURUSD_S25_2_65287_C19B1B5D,2021-09,61.569767569999996,2,2021-08
L_GBPUSD_S42_3_2738258_D59264DC,2021-09,58.98807689,1,2021-08
S_GBPUSD_S43_4_757760_36AEAD74,2021-10,163.76345781999999,10,2021-09
L_EURUSD_S32_0_4743030_AA8ABD07,2021-10,120.80670727,9,2021-09
L_GBPUSD_S30_2_580890_F34C951A,2021-10,111.28335553,8,2021-09
S_GBPUSD_S35_4_6042225_C5E9B0ED,2021-10,105.54264255,7,2021-09
L_GBPUSD_S42_4_793519_D8FAB916,2021-10,89.88481623000001,6,2021-09
L_GBPUSD_S34_1_4050495_1CCF17C8,2021-10,87.58025672,5,2021-09
L_GBPUSD_S42_4_1672550_C717C9EF,2021-10,77.0237806,4,2021-09
L_GBPUSD_S42_4_1061317_58ADC376,2021-10,76.95568921,3,2021-09
L_GBPUSD_S34_2_9722597_DB736AAF,2021-10,69.60496142,2,2021-09
L_GBPUSD_S34_2_1227018_49061A95,2021-10,69.58913425,1,2021-09
S_GBPUSD_S35_3_3685202_06824EEE,2021-11,250.36865139,10,2021-10
